Município;08/20;09/20;10/20;11/20;12/20;01/21;02/21;03/21;04/21;05/21;06/21;07/21;08/21;09/21;10/21;11/21;12/21;01/22
280280 Indiaroba;17;28;23;16;20;23;19;23;22;28;16;25;24;18;19;25;18;18
280290 Itabaiana;110;102;109;100;100;123;110;148;105;121;117;130;113;119;107;97;135;105
280300 Itabaianinha;39;52;42;42;34;51;40;47;49;48;55;48;51;42;53;36;48;43
280310 Itabi;8;2;2;3;8;3;4;9;5;1;7;8;5;1;3;4;6;7
280320 Itaporanga d'Ajuda;43;41;41;39;24;39;46;49;54;57;52;36;47;50;45;38;45;35
280330 Japaratuba;20;12;15;11;18;18;17;10;16;16;17;29;22;15;24;21;19;15
280340 Japoatã;8;15;17;18;21;23;21;21;20;14;15;11;23;18;13;22;19;20
280350 Lagarto;96;120;98;104;109;127;113;138;115;126;127;136;99;110;117;115;104;110
280360 Laranjeiras;42;25;34;27;38;37;32;37;28;31;34;33;23;34;32;26;24;23
280370 Macambira;4;7;8;8;5;8;9;6;7;7;5;5;5;11;7;3;6;7
280380 Malhada dos Bois;4;3;6;5;4;2;3;3;5;4;3;6;6;11;8;2;3;3
280390 Malhador;17;19;7;10;16;17;15;20;22;15;17;13;14;11;8;8;13;13
280400 Maruim;14;15;17;24;20;17;15;17;24;17;33;18;17;24;10;19;18;20
280410 Moita Bonita;13;15;5;6;7;12;10;20;11;14;13;14;7;5;12;9;10;12
280420 Monte Alegre de Sergipe;23;23;20;20;11;18;22;15;23;19;30;23;18;18;20;22;26;16
280430 Muribeca;11;10;16;8;8;8;13;10;12;9;12;9;9;5;10;6;13;10
280440 Neópolis;20;14;17;13;13;19;23;28;18;26;25;21;18;23;13;15;16;17
280445 Nossa Senhora Aparecida;6;11;9;6;5;8;7;11;16;12;9;9;9;6;9;9;16;6
280450 Nossa Senhora da Glória;54;49;60;38;48;45;40;51;56;58;62;56;46;63;55;65;51;73
280460 Nossa Senhora das Dores;45;21;25;26;20;26;19;17;34;32;27;26;23;38;33;28;26;27
280470 Nossa Senhora de Lourdes;8;5;7;7;2;4;8;7;9;7;5;4;12;4;8;4;5;4
280480 Nossa Senhora do Socorro;237;240;234;222;223;233;206;246;240;306;214;224;241;230;240;232;187;235
280490 Pacatuba;18;12;14;15;17;21;17;17;28;24;21;16;24;18;17;18;17;12
280500 Pedra Mole;4;3;4;4;4;5;3;5;6;4;1;5;0;6;2;5;2;6
280510 Pedrinhas;9;10;16;13;7;9;7;11;11;8;10;7;10;9;17;5;9;5
280520 Pinhão;7;6;6;4;6;3;3;4;8;8;8;5;4;10;12;8;7;4
280530 Pirambu;12;11;12;11;12;13;9;11;17;15;8;5;16;11;12;3;9;18
280540 Poço Redondo;33;46;38;39;41;43;39;46;39;52;40;50;55;33;36;27;52;40
280550 Poço Verde;20;22;29;16;20;22;15;18;17;29;20;36;17;22;31;18;20;26
280560 Porto da Folha;24;31;30;38;32;33;30;41;24;48;22;32;26;35;45;32;31;40
280570 Propriá;30;30;37;35;17;33;31;34;32;42;35;31;36;36;35;34;24;26
280580 Riachão do Dantas;17;19;15;22;18;25;13;28;21;30;19;16;26;19;15;13;18;20
280590 Riachuelo;8;10;12;8;14;9;9;13;15;19;16;14;10;11;12;7;9;16
280600 Ribeirópolis;16;17;15;12;13;8;15;14;18;18;11;15;16;12;19;12;14;20
280610 Rosário do Catete;16;9;7;11;10;13;18;8;7;15;16;11;12;12;14;13;12;17
280620 Salgado;25;23;13;13;13;14;13;28;14;25;20;28;19;24;26;19;20;24
280630 Santa Luzia do Itanhy;23;23;12;9;15;17;13;30;26;15;18;23;13;22;19;17;21;23
280640 Santana do São Francisco;8;15;10;13;13;5;9;9;13;8;7;7;10;11;12;10;5;6
280650 Santa Rosa de Lima;2;5;7;10;3;6;7;11;5;2;2;10;5;8;3;2;4;6
280660 Santo Amaro das Brotas;8;12;18;15;12;10;15;16;18;15;13;12;13;7;12;8;11;14
280670 São Cristóvão;101;96;98;94;92;84;75;108;105;116;116;106;94;99;110;96;115;86
280680 São Domingos;10;3;10;10;4;14;14;16;11;18;10;4;9;8;10;7;5;11
280690 São Francisco;7;3;4;5;5;5;1;3;4;4;7;4;4;6;2;5;2;3
280700 São Miguel do Aleixo;2;6;5;3;3;4;2;4;4;1;1;4;2;5;4;5;5;2
280710 Simão Dias;56;58;51;43;49;46;44;50;44;67;55;50;49;38;50;44;55;54
280720 Siriri;10;6;11;6;12;9;9;4;11;4;10;5;13;11;5;7;8;10
280730 Telha;6;4;2;2;1;6;6;5;1;5;2;5;4;4;5;6;0;2
280740 Tobias Barreto;55;45;59;48;53;57;51;59;68;62;65;61;40;60;50;54;49;53
280750 Tomar do Geru;11;17;10;11;13;13;12;15;12;16;14;15;12;16;13;11;18;12
280760 Umbaúba;34;29;30;21;30;22;23;35;50;49;40;32;29;34;31;31;33;30
